QNum;IW;RT;Cl10
1;2;1;1
2;1;1;1
3;3;2;3
4;2;1;1
5;3;3;5
6;1;1;1
7;1;1;1
8;5;1;2
9;5;2;4
10;1;1;1
11;1;1;1
12;4;2;4
13;3;1;1
14;3;2;3
15;2;1;1
16;2;1;1
17;3;1;1
18;3;2;3
19;3;2;3
21;5;3;6
22;7;4;7
23;7;4;7
24;2;2;3
25;3;2;3
26;6;3;6
27;3;2;3
28;6;3;6
29;7;3;7
30;5;3;6
31;4;3;6
32;3;2;3
33;1;2;3
34;2;2;3
35;8;4;7
36;4;3;6
37;9;5;7
38;9;5;7
39;6;3;6
40;4;2;4
41;4;1;2
42;3;2;3
43;4;2;4
44;4;2;4
45;5;3;6
46;2;2;3
47;5;3;6
48;3;2;3
49;7;4;7
50;6;4;7
51;6;3;6
52;6;3;6
53;2;2;3
54;6;4;7
55;2;3;5
56;5;4;7
57;5;3;6
58;5;3;6
59;1;1;1
60;2;2;3
61;3;2;3
62;3;1;1
63;3;2;3
64;6;4;7
65;7;5;7
66;1;1;1
67;2;2;3
68;4;2;4
69;2;1;1
70;3;3;5
74;2;2;3
75;3;2;3
76;1;1;1
77;5;3;6
78;5;3;6
79;5;3;6
80;2;3;5
81;6;3;6
82;1;1;1
83;2;1;1
84;6;3;6
85;7;4;7
86;8;4;7
88;3;2;3
89;3;3;5
90;4;3;6
91;1;1;1
92;3;2;3
93;1;2;3
94;3;2;3
95;3;2;3
96;4;1;2
97;4;3;6
98;1;1;1
99;4;2;4
100;4;1;2
101;5;2;4
102;3;2;3
103;4;2;4
104;6;3;6
105;2;2;3
106;1;1;1
110;4;2;4
111;2;1;1
112;2;1;1
113;2;1;1
114;1;1;1
115;2;2;3
116;2;1;1
117;2;2;3
118;2;1;1
119;1;2;3
120;3;2;3
121;4;3;6
122;4;2;4
123;5;2;4
124;5;3;6
125;2;1;1
126;4;1;2
127;4;2;4
128;1;1;1
129;2;1;1
130;5;2;4
131;3;1;1
132;1;1;1
133;1;1;1
134;2;1;1
135;2;1;1
136;1;1;1
137;1;1;1
138;1;1;1
139;1;1;1
140;5;3;6
141;7;4;7
142;8;4;7
143;1;1;1
144;1;1;1
145;3;2;3
149;1;1;1
150;2;2;3
151;1;1;1
152;4;1;2
153;5;2;4
154;4;2;4
155;2;1;1
156;1;1;1
157;3;2;3
158;1;2;3
159;3;2;3
160;4;2;4
161;2;3;5
162;1;1;1
163;2;1;1
164;1;1;1
165;1;1;1
166;1;1;1
167;4;2;4
168;1;1;1
169;1;1;1
170;2;2;3
171;3;1;1
172;2;1;1
173;3;1;1
174;2;1;1
175;1;1;1
176;1;1;1
177;1;1;1
178;1;1;1
179;3;2;3
180;3;1;1
181;4;2;4
182;2;2;3
183;2;1;1
184;2;1;1
185;4;3;6
186;1;1;1
187;2;1;1
