iter	MultiClass
0	1.059304047
1	1.02465789
2	1.000834037
3	0.9773508251
4	0.949407495
5	0.9246914147
6	0.9071381622
7	0.8883414762
8	0.8694705126
9	0.8542826854
10	0.8421608879
11	0.8323022453
12	0.8216492209
13	0.8113154418
14	0.7989528249
15	0.7866905171
16	0.7742031379
17	0.7679883262
18	0.7563197491
19	0.7495614091
20	0.7378370048
21	0.7277455929
22	0.7202717266
23	0.7133475175
24	0.7043806669
25	0.6976055964
26	0.6932150282
27	0.6856388774
28	0.6794286376
29	0.676199873
30	0.671386887
31	0.6667784571
32	0.6623143073
33	0.6552323387
34	0.6492812031
35	0.6440376253
36	0.6394386847
37	0.6340869909
38	0.6310398077
39	0.6264814566
40	0.6205196652
41	0.6140995597
42	0.6094488821
43	0.6056238553
44	0.6023499262
45	0.5975755446
46	0.5945505753
47	0.5914376977
48	0.5872621438
49	0.5839238455
50	0.5808590919
51	0.576594681
52	0.5726793407
53	0.5698013035
54	0.5661718353
55	0.5637623103
56	0.5599947927
57	0.5553196093
58	0.5519099198
59	0.5484404656
60	0.5466006371
61	0.5429872788
62	0.53994866
63	0.5361336326
64	0.5339334048
65	0.5302820805
66	0.527213935
67	0.5230650596
68	0.5197807889
69	0.5176638754
70	0.5138201584
71	0.5122306031
72	0.5101311314
73	0.5072254727
74	0.504998602
75	0.5018668766
76	0.4974801656
77	0.4950705695
78	0.492268413
79	0.4897939189
80	0.4868331499
81	0.4845398452
82	0.4819671502
83	0.4795845138
84	0.4782759459
85	0.4759819944
86	0.4733510742
87	0.470314333
88	0.4673104691
89	0.4656697808
90	0.4628434311
91	0.4598882458
92	0.4576250425
93	0.4557809726
94	0.4533083825
95	0.4506207542
96	0.4482010146
97	0.4460386963
98	0.4438977302
99	0.4425479947
100	0.4405016461
101	0.4378136382
102	0.4357484006
103	0.4334558666
104	0.431777349
105	0.4297404371
106	0.4274399795
107	0.4252037828
108	0.4232227091
109	0.4213564011
110	0.4200761867
111	0.418133944
112	0.4167517538
113	0.4150608478
114	0.4128197061
115	0.4094698467
116	0.4078136975
117	0.4061068938
118	0.4040971621
119	0.4028674831
120	0.4011520357
121	0.3986858024
122	0.3974314763
123	0.3957740476
124	0.3938931832
125	0.3923685977
126	0.3907298704
127	0.3885733066
128	0.3872364726
129	0.3849959066
130	0.3831754816
131	0.3821367257
132	0.37999047
133	0.3786492721
134	0.3774416235
135	0.376262007
136	0.3753818898
137	0.3731847574
138	0.3717177728
139	0.3704668092
140	0.3687513987
141	0.3670450618
142	0.3651796792
143	0.3633513288
144	0.3623669514
145	0.3614880462
146	0.3606932286
147	0.3597475024
148	0.3586219254
149	0.3572751379
150	0.3557311297
151	0.354308119
152	0.3526040534
153	0.3511126128
154	0.3493005723
155	0.3479062998
156	0.3459167732
157	0.3453040747
158	0.3441507226
159	0.342986259
160	0.342124254
161	0.3401667365
162	0.3387859719
163	0.3375385185
164	0.3363004152
165	0.3351300962
166	0.3336406399
167	0.3324035668
168	0.331906872
169	0.3309133677
170	0.3299556254
171	0.329257546
172	0.3273635596
173	0.3256694745
174	0.3246190771
175	0.3234404718
176	0.3225355898
177	0.3217006165
178	0.3201102021
179	0.3186257742
180	0.3178823504
181	0.3174056631
182	0.3163903771
183	0.3154222651
184	0.3141319079
185	0.3137668972
186	0.3122534596
187	0.3114659769
188	0.3104950143
189	0.3099811278
190	0.3086662489
191	0.3079908939
192	0.3073778368
193	0.3059663684
194	0.305081021
195	0.3041933016
196	0.3027329852
197	0.3021255127
198	0.3013726325
199	0.30079844
200	0.3000198486
201	0.2993137118
202	0.2984956941
203	0.2972049324
204	0.2963866713
205	0.2954587658
206	0.2945928389
207	0.2941794654
208	0.2932872893
209	0.2924885236
210	0.2918964549
211	0.2906524075
212	0.2894079827
213	0.2884414355
214	0.2877802542
215	0.2873234669
216	0.2867359344
217	0.2862918383
218	0.2855636735
219	0.2838841727
220	0.282991606
221	0.2820402818
222	0.2807944018
223	0.2797474431
224	0.2783556629
225	0.277472851
226	0.2766634641
227	0.2760434639
228	0.2750991923
229	0.2743808616
230	0.2737312317
231	0.2729149638
232	0.2718769079
233	0.2710294678
234	0.2703057346
235	0.2699893904
236	0.2688718343
237	0.2676687658
238	0.2670065189
239	0.2663125167
240	0.2658158456
241	0.2651361111
242	0.2644515674
243	0.2637286033
244	0.26317112
245	0.2626014521
246	0.2615921862
247	0.2609234352
248	0.2603462128
249	0.2595881343
250	0.2586697266
251	0.2579148911
252	0.2572490269
253	0.2567887062
254	0.255725522
255	0.255167883
256	0.25480196
257	0.2542603558
258	0.2537917085
259	0.2530037939
260	0.2522178384
261	0.2514552676
262	0.2509148033
263	0.2501248179
264	0.2496003349
265	0.2490015002
266	0.2482765153
267	0.2473849015
268	0.2469196855
269	0.2459969828
270	0.2451041547
271	0.2443548278
272	0.2436247829
273	0.2429237063
274	0.2425793379
275	0.2420675269
276	0.2413520588
277	0.2407909717
278	0.2403589682
279	0.2397222266
280	0.2392865654
281	0.2389733736
282	0.2384986421
283	0.2376883422
284	0.2373328264
285	0.2369264215
286	0.2366378474
287	0.23612227
288	0.2356884979
289	0.2352590329
290	0.2347053542
291	0.2344022548
292	0.233748489
293	0.2331301188
294	0.2327552371
295	0.2322024567
296	0.2314629716
297	0.2304575704
298	0.229949103
299	0.229233372
300	0.2281601302
301	0.2277882107
302	0.2273190125
303	0.226761972
304	0.2261832119
305	0.2259557527
306	0.2254906126
307	0.2251985367
308	0.224606773
309	0.2239436161
310	0.2235167826
311	0.2232020955
312	0.2226962724
313	0.2221136429
314	0.2216597646
315	0.2211607958
316	0.2204246324
317	0.2199774187
318	0.2196075527
319	0.219142121
320	0.2187284282
321	0.2176818628
322	0.217299332
323	0.2168428129
324	0.2164317061
325	0.2157844399
326	0.2155198638
327	0.2152050966
328	0.2146241041
329	0.214401058
330	0.214036529
331	0.2134596322
332	0.2131944918
333	0.2127313346
334	0.2121006534
335	0.2113736858
336	0.2110841614
337	0.2105419772
338	0.2099682251
339	0.2096185957
340	0.2091982847
341	0.2088146546
342	0.2081110856
343	0.2076534614
344	0.2071346075
345	0.206707102
346	0.2062869368
347	0.2058699826
348	0.205498616
349	0.205062441
350	0.2043892094
351	0.2038055114
352	0.2034258534
353	0.2029539383
354	0.2022631052
355	0.2016035567
356	0.2011767517
357	0.2007916063
358	0.2000460978
359	0.1995559659
360	0.1991215852
361	0.1986420022
362	0.1982327508
363	0.1974238976
364	0.1969460251
365	0.1966018232
366	0.1962621744
367	0.1957990842
368	0.1953365339
369	0.19448951
370	0.1941347197
371	0.1937832995
372	0.1934227408
373	0.1930629744
374	0.1928690243
375	0.1922327654
376	0.1916533723
377	0.1912769717
378	0.1908874472
379	0.1905903483
380	0.1899048476
381	0.1897267779
382	0.1892627929
383	0.1888736564
384	0.1885981296
385	0.1880673601
386	0.1876477672
387	0.1873230751
388	0.1868763645
389	0.186302526
390	0.1853922184
391	0.1848938379
392	0.1845981783
393	0.1840924916
394	0.1835097713
395	0.1831292246
396	0.1823756803
397	0.1819432659
398	0.1817055657
399	0.181290493
400	0.1806674145
401	0.1802221525
402	0.1798763816
403	0.1796990866
404	0.1792845316
405	0.1789061895
406	0.1784966857
407	0.1781458016
408	0.1778842323
409	0.1773590558
410	0.1772004451
411	0.1766856796
412	0.1763433677
413	0.1761804662
414	0.1758427301
415	0.1754187455
416	0.1751709605
417	0.1748032877
418	0.1743985207
419	0.173991728
420	0.1735639246
421	0.1731399004
422	0.1727387564
423	0.1724260639
424	0.1719498442
425	0.171559042
426	0.1713676819
427	0.1710739938
428	0.1707804779
429	0.1705771924
430	0.1700802421
431	0.1699053093
432	0.1696678957
433	0.1693252994
434	0.1688698651
435	0.1684355473
436	0.168255291
437	0.1678922541
438	0.167561122
439	0.1671740635
440	0.1669801793
441	0.1666812779
442	0.1659565698
443	0.165517217
444	0.1653348004
445	0.165127768
446	0.164714916
447	0.1642538629
448	0.1640098804
449	0.1638556707
450	0.1635115011
451	0.1632230522
452	0.1629949982
453	0.1627302881
454	0.1623867939
455	0.1618864489
456	0.1615113732
457	0.1613966733
458	0.1610246988
459	0.1604079128
460	0.1599574115
461	0.1597414634
462	0.159608839
463	0.1593950266
464	0.1592584054
465	0.1588845321
466	0.1585626087
467	0.1581801661
468	0.1578816557
469	0.1576117822
470	0.157345815
471	0.1570189696
472	0.1567343888
473	0.15639696
474	0.1562471246
475	0.1559301575
476	0.1556184141
477	0.1549602512
478	0.1544803197
479	0.1541844492
480	0.1537272218
481	0.1534325338
482	0.1532111568
483	0.1530343946
484	0.1528414104
485	0.1524471409
486	0.1522249886
487	0.1520005241
488	0.1516489988
489	0.1514599799
490	0.151199701
491	0.1510221537
492	0.1507965476
493	0.1505615722
494	0.1502466333
495	0.1499735474
496	0.1498092862
497	0.1495985237
498	0.1494156911
499	0.1490312259
500	0.1487697761
501	0.1483727259
502	0.1482275182
503	0.1480025937
504	0.1477828398
505	0.1474858193
506	0.147177129
507	0.146593523
508	0.1463335239
509	0.1459882135
510	0.1458241833
511	0.1454718733
512	0.1452241064
513	0.1450560722
514	0.1446901644
515	0.1443487442
516	0.1441125567
517	0.1437420357
518	0.1435260529
519	0.1434001535
520	0.1431381722
521	0.1428645812
522	0.142702889
523	0.1423818829
524	0.1421093004
525	0.1418440864
526	0.1415210308
527	0.1412536402
528	0.1410361938
529	0.1407036324
530	0.1404540931
531	0.1402375814
532	0.1400303613
533	0.1399242144
534	0.1396948871
535	0.1394113075
536	0.1391529328
537	0.139011337
538	0.1387784662
539	0.1385554432
540	0.1382937052
541	0.1380246958
542	0.1376307601
543	0.137288834
544	0.1371351281
545	0.1368056636
546	0.1366748419
547	0.1362929857
548	0.1359350394
549	0.135795116
550	0.1355747798
551	0.1354802484
552	0.1353198847
553	0.1351539042
554	0.1348532514
555	0.1346885404
556	0.1345726697
557	0.1342230946
558	0.1339563121
559	0.1336711975
560	0.1334670794
561	0.1333005437
562	0.1331727172
563	0.1329719049
564	0.1328186189
565	0.1326710521
566	0.1324537788
567	0.1322555531
568	0.1320005916
569	0.1317123507
570	0.1313602586
571	0.1311324204
572	0.1308326004
573	0.130452311
574	0.1300226895
575	0.1296701348
576	0.1294964742
577	0.1291760672
578	0.1289628098
579	0.128851208
580	0.1287183759
581	0.128591208
582	0.1281830339
583	0.1280512102
584	0.1278194405
585	0.1276195153
586	0.1273149553
587	0.1271169313
588	0.126938705
589	0.1267259334
590	0.1265573446
591	0.1262676363
592	0.126092929
593	0.1258179527
594	0.1256735855
595	0.1253802027
596	0.1250795904
597	0.1249399158
598	0.1246919387
599	0.1245157416
600	0.1240339558
601	0.1239214362
602	0.1237621644
603	0.1236666275
604	0.1234423422
605	0.1228881933
606	0.1226940735
607	0.1224467612
608	0.1221853029
609	0.1220162324
610	0.1216605765
611	0.1214576204
612	0.1212260597
613	0.1210083381
