iter	Passed	Remaining
0	27	31740
1	45	26713
2	65	25446
3	82	24290
4	99	23308
5	118	23118
6	136	22723
7	155	22670
8	173	22510
9	190	22189
10	210	22326
11	230	22325
12	246	22079
13	267	22191
14	284	22028
15	303	21978
16	321	21903
17	343	22076
18	362	22052
19	380	21982
20	402	22122
21	418	21945
22	437	21940
23	455	21860
24	471	21708
25	490	21712
26	508	21627
27	524	21505
28	542	21450
29	559	21358
30	576	21304
31	595	21272
32	611	21165
33	629	21158
34	648	21126
35	669	21194
36	688	21208
37	707	21197
38	728	21226
39	746	21211
40	763	21134
41	781	21095
42	801	21113
43	821	21138
44	840	21124
45	860	21137
46	878	21100
47	897	21090
48	918	21131
49	939	21148
50	953	21027
51	967	20915
52	980	20777
53	993	20647
54	1009	20571
55	1022	20453
56	1036	20343
57	1049	20227
58	1062	20115
59	1075	20004
60	1088	19902
61	1108	19915
62	1125	19881
63	1140	19818
64	1158	19797
65	1174	19758
66	1191	19715
67	1207	19669
68	1226	19676
69	1244	19669
70	1262	19656
71	1280	19627
72	1295	19567
73	1312	19548
74	1329	19510
75	1345	19476
76	1363	19454
77	1378	19408
78	1396	19385
79	1412	19356
80	1430	19341
81	1447	19314
82	1465	19303
83	1484	19292
84	1500	19258
85	1517	19227
86	1535	19216
87	1554	19214
88	1571	19188
89	1589	19181
90	1606	19151
91	1621	19111
92	1640	19101
93	1659	19103
94	1679	19113
95	1698	19104
96	1715	19084
97	1733	19070
98	1752	19060
99	1767	19021
100	1788	19034
101	1805	19009
102	1824	19003
103	1840	18968
104	1858	18953
105	1878	18964
106	1899	18975
107	1918	18967
108	1934	18936
109	1951	18915
110	1969	18895
111	1988	18894
112	2008	18889
113	2028	18894
114	2047	18893
115	2067	18894
116	2087	18891
117	2106	18889
118	2126	18883
119	2142	18850
120	2160	18838
121	2177	18812
122	2197	18810
123	2214	18791
124	2234	18789
125	2252	18769
126	2270	18753
127	2288	18738
128	2305	18714
129	2325	18711
130	2343	18692
131	2361	18674
132	2379	18663
133	2397	18643
134	2413	18607
135	2430	18585
136	2451	18588
137	2469	18575
138	2487	18561
139	2505	18544
140	2523	18519
141	2538	18485
142	2559	18489
143	2577	18470
144	2594	18447
145	2613	18439
146	2643	18504
147	2665	18516
148	2688	18531
149	2705	18502
150	2721	18472
151	2738	18449
152	2755	18426
153	2775	18422
154	2793	18404
155	2809	18369
156	2826	18345
157	2844	18329
158	2863	18318
159	2878	18277
160	2894	18249
161	2908	18204
162	2922	18161
163	2936	18121
164	2950	18077
165	2967	18057
166	2986	18043
167	3004	18029
168	3024	18024
169	3043	18009
170	3062	17996
171	3082	17991
172	3101	17978
173	3121	17975
174	3137	17945
175	3155	17930
176	3172	17903
177	3189	17885
178	3209	17877
179	3230	17872
180	3247	17850
181	3264	17831
182	3282	17812
183	3301	17797
184	3320	17786
185	3341	17783
186	3361	17776
187	3378	17756
188	3395	17732
189	3413	17714
190	3430	17691
191	3450	17685
192	3468	17666
193	3488	17659
194	3506	17639
195	3524	17621
196	3542	17605
197	3559	17583
198	3576	17558
199	3593	17534
200	3611	17516
201	3630	17507
202	3649	17491
203	3668	17477
204	3685	17454
205	3702	17435
206	3722	17425
207	3739	17405
208	3757	17384
209	3771	17349
210	3789	17331
211	3808	17319
212	3827	17303
213	3845	17288
214	3865	17278
215	3884	17265
216	3905	17258
217	3921	17232
218	3937	17206
219	3954	17182
220	3969	17151
221	3986	17132
222	4003	17110
223	4024	17103
224	4042	17085
225	4060	17066
226	4077	17047
227	4095	17028
228	4113	17012
229	4130	16990
230	4146	16962
231	4165	16948
232	4184	16934
233	4203	16921
234	4223	16910
235	4243	16902
236	4261	16886
237	4279	16867
238	4298	16850
239	4315	16831
240	4332	16809
241	4351	16796
242	4369	16778
243	4387	16757
244	4405	16741
245	4423	16723
246	4440	16703
247	4458	16681
248	4473	16653
249	4489	16628
250	4506	16607
251	4524	16589
252	4543	16576
253	4564	16568
254	4581	16547
255	4599	16529
256	4616	16509
257	4635	16494
258	4653	16476
259	4671	16456
260	4687	16432
261	4701	16402
262	4715	16371
263	4731	16343
264	4745	16313
265	4758	16280
266	4772	16247
267	4786	16216
268	4802	16194
269	4832	16217
270	4862	16239
271	4880	16221
272	4900	16210
273	4918	16189
274	4934	16166
275	4953	16153
276	4969	16128
277	4984	16101
278	5002	16084
279	5023	16076
280	5040	16053
281	5057	16033
282	5076	16019
283	5094	16002
284	5114	15989
285	5131	15968
286	5148	15946
287	5166	15929
288	5182	15907
289	5201	15890
290	5219	15874
291	5241	15866
292	5259	15849
293	5276	15830
294	5294	15811
295	5312	15793
296	5330	15776
297	5352	15769
298	5371	15754
299	5390	15740
300	5408	15720
301	5426	15705
302	5442	15681
303	5464	15673
304	5483	15658
305	5501	15642
306	5520	15626
307	5539	15610
308	5561	15604
309	5578	15583
310	5595	15561
311	5613	15546
312	5632	15529
313	5651	15513
314	5668	15492
315	5686	15475
316	5703	15454
317	5720	15435
318	5741	15423
319	5759	15406
320	5778	15390
321	5794	15368
322	5814	15356
323	5831	15334
324	5847	15310
325	5863	15287
326	5881	15269
327	5901	15258
328	5919	15238
329	5937	15220
330	5955	15203
331	5972	15182
332	5988	15159
333	6006	15140
334	6025	15127
335	6043	15107
336	6059	15086
337	6077	15067
338	6095	15050
339	6113	15031
340	6132	15017
341	6149	14996
342	6169	14981
343	6186	14962
344	6202	14940
345	6220	14922
346	6237	14902
347	6257	14888
348	6277	14874
349	6298	14864
350	6317	14848
351	6335	14831
352	6356	14820
353	6374	14801
354	6390	14779
355	6408	14762
356	6426	14743
357	6443	14723
358	6463	14708
359	6480	14690
360	6498	14671
361	6518	14657
362	6533	14633
363	6550	14613
364	6570	14599
365	6588	14580
366	6605	14560
367	6620	14537
368	6635	14511
369	6649	14485
370	6662	14457
371	6683	14445
372	6701	14427
373	6719	14409
374	6735	14387
375	6755	14373
376	6773	14355
377	6789	14333
378	6808	14318
379	6826	14300
380	6844	14280
381	6860	14259
382	6878	14242
383	6901	14233
384	6917	14212
385	6935	14193
386	6954	14177
387	6974	14163
388	6994	14150
389	7014	14137
390	7032	14118
391	7050	14101
392	7071	14089
393	7091	14074
394	7110	14059
395	7128	14041
396	7150	14031
397	7168	14012
398	7185	13993
399	7204	13976
400	7223	13960
401	7243	13946
402	7261	13928
403	7279	13910
404	7297	13891
405	7315	13874
406	7331	13853
407	7348	13833
408	7367	13816
409	7385	13798
410	7402	13778
411	7419	13758
412	7436	13738
413	7452	13716
414	7471	13700
415	7488	13681
416	7505	13660
417	7520	13638
418	7540	13623
419	7557	13603
420	7576	13586
421	7597	13574
